start,,,
right,left,lighting led pin,
867.7,2952.76,0,4468142
858.03,2941.48,0,4605655
876.56,2931.81,0,4736100
876.56,2964.04,0,4867108
872.53,2938.26,0,4998111
871.73,2960.82,0,5129108
888.65,2982.57,0,5260100
894.29,2989.82,0,5391108
889.45,2976.12,0,5522100
884.62,2976.93,0,5653126
887.04,2981.76,0,5784100
889.45,2964.04,0,5915108
887.04,2976.93,0,6046100
879.79,2983.37,0,6177108
880.59,2962.43,0,6308100
889.45,2968.87,0,6439108
889.45,2970.48,0,6570100
878.17,2989.82,0,6701108
889.45,2986.6,0,6832100
893.48,2976.93,0,6969641
890.26,2954.37,0,7100130
890.26,2967.26,0,7231126
889.45,2970.48,0,7362130
888.65,2986.6,0,7493138
891.06,2970.48,0,7624130
884.62,2980.15,2,7755126
891.06,2989.82,2,7886131
915.23,3002.71,2,8017126
864.48,2925.37,2,8148111
863.67,2880.25,2,8279127
861.25,2877.03,2,8418099
850.78,2886.69,2,8549138
863.67,2906.03,2,8680111
858.84,2880.25,2,8811126
863.67,2877.03,2,8942130
841.92,2883.47,2,9073127
847.56,2860.91,2,9211165
858.84,2886.69,2,9348655
861.25,2877.03,2,9479100
881.4,2912.48,2,9610108
883.01,2886.69,2,9741111
892.68,2880.25,2,9872126
894.29,2886.69,2,10003100
889.45,2886.69,2,10143777
882.2,2886.69,2,10274100
887.84,2877.03,0,10405108
880.59,2867.36,0,10536100
877.37,2902.81,0,10667108
879.79,2989.82,0,10798100
